SYMBOL,COMPANY,LDR,RTG,C,Q,V,E,M,G,VOL,ETMO,MC,FLT,ADTV,DAYS HELD,YTD PERF,P/E FY2,ROE,ANALYST,IM HOLD,
1316 HK,Nexteer Automotive Group Ltd,,O,,,,8,46,35,34,,"4,189","1,364",9.37,0,48.0,,,Anil Daka,,
DPEU LN,Dp Eurasia Nv,,N,,,,,,,,,377,197,,,,19.0,,Rita Spitz,,
5949 JP,Unipres Corp,,NO,1,22,3,12,36,90,43,,"1,158",870,6.89,0,18.4,8.5,,Quant Intl,,
TW/ LN,Taylor Wimpey Plc,,O,1,12,7,7,36,62,59,,"8,239","8,226",64.30,0,37.1,9.3,,Alaina Anderson,,
UG FP,Peugeot Sa,,N,1,19,1,30,36,52,78,,"19,315","12,231",101.98,0,35.0,7.4,,Andrew Siepker,,
819 HK,Tianneng Power International Ltd,,N,1,13,1,41,86,29,38,,885,518,2.80,0,-9.2,4.5,,Greg Scolaro,,
7313 JP,Ts Tech Co Ltd,,N,1,11,4,20,42,72,25,,"2,106","1,520",6.41,0,15.5,10.1,,Taylor Cope,,
PSN LN,Persimmon Plc,,NO,1,5,16,5,14,61,70,,"10,303","10,267",74.35,0,57.5,10.5,,Quant Intl,,
1808 JP,Haseko Corp,,O,1,12,2,35,32,78,59,,"3,694","3,506",26.01,0,25.2,6.6,,Alaina Anderson,,
EO FP,Faurecia,,NO,2,11,7,23,26,33,54,,"8,017","4,230",52.42,0,45.0,10.0,,Quant Intl,,
HCAR PA,Honda Atlas Cars Pakistan Ltd,,O,2,3,10,10,59,30,81,,752,137,0.58,0,-2.1,8.5,,Greg Scolaro,,
MG CN,Magna International Inc,,N,2,16,3,25,57,43,23,,"17,659","17,498",76.76,0,-4.6,7.2,,Andrew Siepker,,
FROTO TI,Ford Otomotiv Sanayi As,,O,2,7,15,5,25,39,46,,"4,884","1,002",4.18,0,52.6,12.5,,Anil Daka,,
INCH LN,Inchcape Plc,,O,2,28,11,3,54,52,24,,"4,528","4,447",18.96,0,23.6,12.3,,Anil Daka,,
LNR CN,Linamar Corp,,O,3,15,9,25,42,55,21,,"3,557","2,464",13.27,0,10.8,7.9,,Anil Daka,,
3116 JP,Toyota Boshoku Corp,,NO,3,20,3,37,85,81,50,,"3,705","1,145",12.57,0,-8.1,8.9,,Quant Intl,,
028150 KS,Gs Home Shopping Inc,,N,3,25,9,20,37,69,22,,"1,279",693,2.77,0,46.9,11.4,,Bryan Shea,,
INDU PA,Indus Motor Co Ltd,,N,3,2,11,15,59,50,63,,"1,240",261,0.69,0,13.7,9.3,,Greg Scolaro,,
ML FP,Cie Generale Des Etablissements Michelin,Yes,O,3,19,18,17,15,65,26,,"24,562","23,860",123.59,0,24.4,10.9,,Andrew Siepker,,
TUI1 GR,Tui Ag,,N,3,8,16,9,46,40,70,,"10,058","7,804",20.62,0,17.2,11.8,,Vivian Lin Thurston,,
NVR,Nvr Inc,Yes,N,3,10,50,2,13,20,39,,"10,152","9,492",75.90,0,57.3,17.2,,Alaina Anderson,,
071840 KS,Lotte Himart Co Ltd,,N,4,55,12,1,31,19,47,,"1,387",395,4.70,0,69.6,9.4,,Rita Spitz,,
ELUXB SS,Electrolux Ab,,N,5,13,25,22,18,63,33,,"10,813","8,464",60.80,0,38.8,14.4,,Dan Su,,
7259 JP,Aisin Seiki Co Ltd,,NO,5,28,11,19,31,62,54,,"14,539","8,327",44.14,0,23.6,10.7,,Quant Intl,,
5108 JP,Bridgestone Corp,,N,5,12,15,32,25,55,39,,"34,606","26,548",98.82,0,19.5,11.0,,Quant Intl,,
TGT,Target Corp,Yes,N,5,10,5,25,98,75,32,,"30,884","30,822",413.56,0,-20.7,12.8,,Vivian Lin Thurston,,
175 HK,Geely Automobile Holdings Ltd,,N,6,3,64,2,15,24,79,,"21,769","12,011",150.14,0,144.1,12.4,,Andrew Siepker,,
035760 KS,Cj O Shopping Co Ltd,,N,6,21,11,37,54,33,41,,"1,163",505,5.06,0,26.9,10.4,,Bryan Shea,,
MMT FP,Metropole Television Sa,,N,6,6,34,12,28,78,9,,"3,026","1,319",4.51,0,34.3,16.1,,Drew Buckley,,
7269 JP,Suzuki Motor Corp,,N,6,30,36,6,18,57,72,,"24,469","19,008",88.19,0,31.8,12.2,,Andrew Siepker,,
BWA,Borgwarner Inc,Yes,N,6,16,38,7,40,53,21,,"9,483","9,414",89.53,0,19.7,11.2,,Anil Daka,,
DLPH,Delphi Automotive Plc,Yes,N,6,2,47,5,26,69,1,,"25,131","24,944",149.35,0,34.5,12.9,,Anil Daka,,
POM FP,Cie Plastic Omnium Sa,,O,7,23,23,19,46,30,15,,"5,779","2,208",13.66,0,21.3,11.0,,Anil Daka,,
RTN LN,Restaurant Group Plc/the,,N,8,4,14,34,75,92,33,,900,896,6.08,0,11.3,15.1,,Rita Spitz,,
7458 JP,Daiichikosho Co Ltd,,O,8,12,42,10,33,43,2,,"2,793","1,876",5.53,0,22.0,21.5,,Drew Buckley,,
HD,Home Depot Inc/the,Yes,O,8,1,62,2,46,37,7,,"176,717","176,523",739.90,0,11.8,17.9,,Vivian Lin Thurston,,
OMC,Omnicom Group Inc,Yes,N,8,5,16,19,89,58,1,,"18,029","17,894",142.59,0,-6.1,13.4,,William Benton,,
5110 JP,Sumitomo Rubber Industries Ltd,,NO,9,18,6,77,44,71,40,,"4,345","2,928",21.03,0,10.3,9.5,,Quant Intl,,
868 HK,Xinyi Glass Holdings Ltd,,NO,9,28,13,34,53,37,28,,"3,754","1,727",10.18,0,28.8,7.2,,Anil Daka,,
7270 JP,Subaru Corp,Yes,N,9,4,5,63,85,46,65,,"27,254","21,505",127.10,0,-9.8,8.8,,Andrew Siepker,,
489 HK,Dongfeng Motor Group Co Ltd,Yes,N,10,43,4,39,60,68,51,,"11,229","3,722",21.68,0,28.2,5.5,,Andrew Siepker,,
SSPG LN,Ssp Group Plc,,O,10,18,79,3,6,44,10,,"3,263","3,100",11.72,0,40.8,26.2,,Rita Spitz,,
1169 HK,Haier Electronics Group Co Ltd,Yes,O,10,13,33,25,30,50,34,,"7,741","3,398",11.66,0,66.1,14.1,,Dan Su,,
1999 HK,Man Wah Holdings Ltd,Yes,N,10,11,40,15,46,49,65,,"3,602","1,274",15.37,0,30.7,11.8,,Rita Spitz,,
4204 JP,Sekisui Chemical Co Ltd,,NO,11,26,27,27,34,65,38,,"9,174","7,456",23.80,0,17.6,13.4,,William DeAllaume,,
7261 JP,Mazda Motor Corp,,N,11,36,4,42,84,47,80,,"8,759","8,279",80.39,0,-7.5,7.3,,Andrew Siepker,,
WYN,Wyndham Worldwide Corp,,N,11,19,34,47,7,54,11,,"10,146","9,890",102.74,0,37.4,14.0,,Rita Spitz,,
TUP,Tupperware Brands Corp,Yes,N,11,6,27,32,54,77,6,,"2,905","2,409",27.73,0,17.2,11.2,,Rita Spitz,,
DEB LN,Debenhams Plc,,NO,12,42,1,58,99,76,26,Yes,642,641,3.22,0,-18.7,7.2,,Quant Intl,,
DL,China Distance Education Holdings Ltd,,N,12,8,10,41,97,65,80,,242,242,0.30,0,-33.5,11.7,,Bryan Shea,,
WSM,Williams-Sonoma Inc,Yes,N,12,2,13,43,88,63,17,,"3,712","3,385",84.23,0,-2.0,11.4,,Rita Spitz,,
7276 JP,Koito Manufacturing Co Ltd,Yes,O,13,13,49,10,66,46,48,,"9,873","7,277",22.31,0,9.0,15.4,,Andrew Siepker,,
NOBI SS,Nobia Ab,,N,13,5,27,42,50,87,38,,"1,716","1,075",4.99,0,11.5,12.0,,Rita Spitz,,
GRND3 BZ,Grendene Sa,,N,13,15,40,35,23,67,48,,"2,538","2,538",,,67.5,11.4,,Rita Spitz,,
CMCSA,Comcast Corp,Yes,N,13,20,53,14,38,32,6,,"194,898","193,271",730.48,0,15.4,18.1,,William Benton,,
CCL LN,Carnival Plc,Yes,O,13,34,43,16,7,49,12,,"49,583","12,800",63.71,0,32.3,15.7,,Vivian Lin Thurston,,
600690 CH,Qingdao Haier Co Ltd,,N,14,44,21,18,31,34,36,,"12,158","5,616",85.22,0,46.4,11.3,,Vivian Lin Thurston,,
SMLE3 BZ,Smiles Sa,,N,14,3,55,8,58,49,29,,"2,588","1,197",13.16,0,59.7,13.1,,Bryan Shea,,
7832 JP,Bandai Namco Holdings Inc,,O,14,12,31,55,22,50,33,,"7,536","6,367",26.00,0,28.0,16.0,,Dan Su,,
27 HK,Galaxy Entertainment Group Ltd,Yes,O,14,19,78,6,12,25,87,,"26,330","13,869",82.18,0,41.7,22.6,,Vivian Lin Thurston,,
GRG LN,Greggs Plc,,O,14,4,43,24,43,66,2,,"1,538","1,534",5.79,0,23.0,17.6,,Rita Spitz,,
