SYMBOL,SECURITY,BMK WT,LDR,RTG,C,Q,V,E,M,G,VOL,ETMO,MC,FLT,ADTV,DAYS HELD,YTD PERF,P/E FY2,ROE,ANALYST,IM HOLD,
1060 HK,Alibaba Pictures Group Ltd,0.04,,,,94,,,96,,,,"4,449","1,777",6.66,0,4.0,,,,,
FROTO TI,Ford Otomotiv Sanayi As,0.02,,O,2,7,15,5,25,39,46,,"4,884","1,002",4.18,0,52.6,12.5,,Anil Daka,,
175 HK,Geely Automobile Holdings Lt,0.24,,N,6,3,64,2,15,24,79,,"21,769","12,011",150.14,0,144.1,12.4,,Andrew Siepker,,
489 HK,Dongfeng Motor Grp Co Ltd-H,0.07,Yes,N,10,43,4,39,60,68,51,,"11,229","3,722",21.68,0,28.2,5.5,,Andrew Siepker,,
1169 HK,Haier Electronics Group Co,0.07,Yes,O,10,13,33,25,30,50,34,,"7,741","3,398",11.66,0,66.1,14.1,,Dan Su,,
TOASO TI,Tofas Turk Otomobil Fabrika,0.02,,O,14,28,41,20,23,43,53,,"4,535","1,101",5.07,0,30.4,12.5,,Anil Daka,,
GENT MK,Genting Bhd,0.10,,,20,61,41,2,31,45,60,,"8,623","5,025",5.92,0,27.9,14.3,,,,
2020 HK,Anta Sports Products Ltd,0.08,,N,20,6,74,5,65,33,11,,"10,288","3,920",17.44,0,18.3,19.2,,Dan Su,,
BELA GA,Jumbo Sa,0.03,Yes,O,20,19,40,45,54,51,7,,"2,257","1,733",5.70,0,7.7,13.6,,Rita Spitz,,
KROT3 BZ,Kroton Educacional Sa,0.16,Yes,O,24,37,59,4,70,54,63,,"9,233","8,731",53.21,0,17.6,12.0,,Dan Su,,
066570 KS,Lg Electronics Inc,0.14,,,26,53,5,80,35,16,82,,"10,926","6,323",73.70,0,39.1,8.3,,,,
OPAP GA,Opap Sa,0.05,Yes,O,26,16,47,75,14,80,53,,"3,584","2,401",6.00,0,40.0,14.4,,Rita Spitz,,
030000 KS,Cheil Worldwide Inc,0.02,Yes,,28,34,49,21,62,38,44,,"1,989",968,4.64,0,32.9,16.6,,,,
425 HK,Minth Group Ltd,0.06,,O,31,29,62,24,52,23,13,,"5,006","3,022",17.06,0,50.9,13.0,,Taylor Cope,,
