SYMBOL,COMPANY,LDR,RTG,C,Q,V,E,M,G,VOL,ETMO,MC,FLT,ADTV,DAYS HELD,YTD PERF,P/E FY2,ROE,ANALYST,IM HOLD,
FROTO TI,Ford Otomotiv Sanayi As,,O,1,,,,,40,42,,"4,654",954,"4,189,594.21",0.00,52.6,,,Anil Daka,,
1808 JP,Haseko Corp,,O,1,,,,,79,58,,"3,543","3,362","26,086,913.36",0.00,25.2,,,Alaina Anderson,,
TW/ LN,Taylor Wimpey Plc,,O,1,,,,,62,64,,"8,103","8,090","65,058,732.67",0.00,37.1,,,Alaina Anderson,,
INCH LN,Inchcape Plc,,O,2,,,,,50,24,,"4,525","4,444","19,513,276.96",0.00,23.6,,,Anil Daka,,
ML FP,Cie Generale Des Etablissements Michelin,Yes,O,3,,,,,66,26,,"24,847","24,137","128,726,840.74",0.00,24.4,,,Andrew Siepker,,
HCAR PA,Honda Atlas Cars Pakistan Ltd,,O,3,,,,,31,83,,853,155,"561,824.91",0.00,-2.1,,,Greg Scolaro,,
LNR CN,Linamar Corp,,O,3,,,,,52,20,,"3,482","2,412","13,666,199.57",0.00,10.8,,,Anil Daka,,
SSPG LN,Ssp Group Plc,,O,7,,,,,44,11,,"3,291","3,127","12,226,783.03",0.00,40.8,,,Rita Spitz,,
POM FP,Cie Plastic Omnium Sa,,O,7,,,,,30,14,,"5,808","2,219","14,413,770.91",0.00,21.3,,,Anil Daka,,
7458 JP,Daiichikosho Co Ltd,,O,7,,,,,43,2,,"2,836","1,905","5,795,918.77",0.00,22.0,,,Drew Buckley,,
CCL LN,Carnival Plc,Yes,O,10,,,,,49,12,,"49,883","12,873","66,317,449.90",0.00,32.3,,,Vivian Lin Thurston,,
TOASO TI,Tofas Turk Otomobil Fabrikasi As,,O,11,,,,,43,53,,"4,472","1,086","5,304,594.21",0.00,30.4,,,Anil Daka,,
080160 KS,Modetour Network Inc,,O,13,,,,,15,68,,469,279,"4,197,777.68",0.00,59.8,,,Bryan Shea,,
GRG LN,Greggs Plc,,O,13,,,,,66,2,,"1,536","1,532","5,633,487.79",0.00,23.0,,,Rita Spitz,,
7832 JP,Bandai Namco Holdings Inc,,O,13,,,,,51,35,,"7,253","6,128","25,177,815.88",0.00,28.0,,,Dan Su,,
FR FP,Valeo Sa,Yes,O,14,,,,,39,33,,"16,260","15,788","100,484,931.12",0.00,23.5,,,Andrew Siepker,,
7276 JP,Koito Manufacturing Co Ltd,Yes,O,14,,,,,43,48,,"9,824","7,241","22,617,138.99",0.00,9.0,,,Andrew Siepker,,
HFD LN,Halfords Group Plc,,O,14,,,,,86,15,,813,812,"4,356,747.89",0.00,-0.5,,,Rita Spitz,,
HD,Home Depot Inc/the,Yes,O,14,,,,,40,7,,"182,023","181,825","755,397,120.00",0.00,11.8,,,Vivian Lin Thurston,,
NRE1V FH,Nokian Renkaat Oyj,Yes,O,16,,,,,71,20,,"5,815","4,894","37,554,686.86",0.00,14.8,,,Anil Daka,,
