SYMBOL,SECURITY,BMK WT,LDR,RTG,C,Q,V,E,M,G,VOL,ETMO,MC,FLT,ADTV,DAYS HELD,YTD PERF,P/E FY2,ROE,ANALYST,IM HOLD,
FCAM TQ,Fiat Chrysler Automobiles Nv,0.10,,,,,,30,45,29,77,,"22,177","11,031",5.35,0,30.6,5.1,,,,
1808 JP,Haseko Corp,0.02,,O,1,12,2,36,29,78,59,,"3,716","3,526",26.04,0,25.2,6.6,,Alaina Anderson,,
UG FP,Peugeot Sa,0.06,,N,1,19,1,33,32,54,78,,"19,387","12,277",101.94,0,35.0,7.4,,Andrew Siepker,,
PSN LN,Persimmon Plc,0.06,,NO,1,5,16,5,14,59,70,,"10,188","10,152",74.70,0,57.5,10.5,,Quant Intl,,
TW/ LN,Taylor Wimpey Plc,0.05,,O,1,12,7,6,35,62,59,,"8,134","8,121",63.70,0,37.1,9.4,,Alaina Anderson,,
BKG LN,Berkeley Group Holdings/the,0.04,Yes,,2,15,8,30,20,36,48,,"6,432","5,964",46.20,0,35.1,11.1,,,,
MG CN,Magna International Inc,0.10,,N,2,16,3,26,55,43,23,,"17,643","17,482",76.23,0,-4.6,7.3,,Andrew Siepker,,
INCH LN,Inchcape Plc,0.03,,O,2,28,11,3,52,52,24,,"4,479","4,399",18.84,0,23.6,12.2,,Anil Daka,,
EO FP,Faurecia,0.03,,NO,2,11,7,23,24,33,54,,"8,033","4,238",52.27,0,45.0,10.0,,Quant Intl,,
LNR CN,Linamar Corp,0.02,,O,3,15,9,26,40,54,21,,"3,559","2,465",13.16,0,10.8,7.9,,Anil Daka,,
3116 JP,Toyota Boshoku Corp,0.01,,NO,3,20,3,35,83,81,50,,"3,712","1,147",12.48,0,-8.1,9.0,,Quant Intl,,
7259 JP,Aisin Seiki Co Ltd,0.05,,NO,4,29,11,20,28,62,54,,"14,620","8,374",44.16,0,23.6,10.7,,Quant Intl,,
ELUXB SS,Electrolux Ab-Ser B,0.05,,N,5,13,24,22,18,63,33,,"10,758","8,423",60.82,0,38.8,14.4,,Dan Su,,
5108 JP,Bridgestone Corp,0.17,,N,5,12,15,36,22,57,39,,"34,921","26,790",99.07,0,19.5,11.0,,Quant Intl,,
BDEV LN,Barratt Developments Plc,0.05,,,6,47,7,16,20,60,60,,"7,835","7,811",54.36,0,42.5,9.7,,,,
7269 JP,Suzuki Motor Corp,0.13,,N,6,30,35,5,17,57,73,,"24,722","19,205",88.48,0,31.8,12.1,,Andrew Siepker,,
